candidate_pool_condition,variant_name,n_pairs,top1,mrr,top3,top5,percentile_rank,mean_true_rank,median_true_rank,failures,retrieval_margin,top1_same_subject_rate,top1_same_subject_wrong_rate,top1_same_task_side_rate,top1_wrong_task_or_side_rate,top1_quality_mismatch_rate,subject_fingerprint_gap
all_medon_candidates,v2A_top5_aperiodic_rerank,34,0.4411764705882353,0.5988324393032647,0.6764705882352942,0.7941176470588235,0.875222816399287,5.117647058823529,2.0,19,-209.75090521967758,0.7058823529411765,0.2647058823529412,0.5294117647058824,0.47058823529411764,0.20588235294117646,0.26470588235294124
all_medon_candidates,v2B_gated_aperiodic_top5,34,0.6764705882352942,0.7488324393032648,0.7941176470588235,0.7941176470588235,0.8912655971479501,4.588235294117647,1.0,11,56.62682117815358,0.6764705882352942,0.0,0.9705882352941176,0.029411764705882353,0.20588235294117646,0.0
all_medon_candidates,v2C_cycle_consistent,34,0.7647058823529411,0.8368352045119123,0.9117647058823529,0.9117647058823529,0.9251336898395721,3.4705882352941178,1.0,8,2.1059516725080143,0.7647058823529411,0.0,0.9705882352941176,0.029411764705882353,0.20588235294117646,0.0
all_medon_candidates,v2C_deconfounded_cycle,34,0.7647058823529411,0.8435457516339869,0.9117647058823529,0.9117647058823529,0.9688057040998217,2.0294117647058822,1.0,8,2.238253589782233,0.7647058823529411,0.0,0.9705882352941176,0.029411764705882353,0.20588235294117646,0.0
all_medon_candidates,v2D_kreciprocal_cycle,34,0.6764705882352942,0.7924841307490738,0.9117647058823529,0.9117647058823529,0.9197860962566845,3.6470588235294117,1.0,11,2.227278612070176,0.6764705882352942,0.0,0.9705882352941176,0.029411764705882353,0.2647058823529412,0.0
all_medon_candidates,v2D_kreciprocal_quality_cycle,34,0.7941176470588235,0.8528194284249647,0.9117647058823529,0.9117647058823529,0.945632798573975,2.7941176470588234,1.0,7,3.1535734238701316,0.7941176470588235,0.0,0.9705882352941176,0.029411764705882353,0.08823529411764706,0.0
all_medon_candidates,v2D_kreciprocal_quality_deconfounded,34,0.7941176470588235,0.8602941176470589,0.9117647058823529,0.9117647058823529,0.9786096256684492,1.7058823529411764,1.0,7,3.442559242278353,0.7941176470588235,0.0,1.0,0.0,0.08823529411764706,0.0
all_medon_candidates,v2D_quality_deconfounded_cycle,34,0.8235294117647058,0.8804271708683473,0.9117647058823529,0.9117647058823529,0.981283422459893,1.6176470588235294,1.0,6,3.2239975281415214,0.8235294117647058,0.0,0.9705882352941176,0.029411764705882353,0.08823529411764706,0.0
original_frozen_matched_pool,v2A_top5_aperiodic_rerank,34,0.8529411764705882,0.8958333333333333,0.9117647058823529,0.9705882352941176,0.9003267973856209,1.4705882352941178,1.0,5,-28.491988957506944,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_frozen_matched_pool,v2B_gated_aperiodic_top5,34,0.8529411764705882,0.8958333333333333,0.9117647058823529,0.9705882352941176,0.9003267973856209,1.4705882352941178,1.0,5,-28.491988957506944,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_frozen_matched_pool,v2C_cycle_consistent,34,0.8529411764705882,0.9044117647058824,0.9411764705882353,0.9705882352941176,0.917260843731432,1.3529411764705883,1.0,5,0.995093400688729,0.8529411764705882,0.0,1.0,0.0,0.058823529411764705,0.0
original_frozen_matched_pool,v2C_deconfounded_cycle,34,0.8529411764705882,0.8958333333333333,0.9117647058823529,0.9705882352941176,0.9003267973856209,1.4705882352941178,1.0,5,-28.491988957506944,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_frozen_matched_pool,v2D_kreciprocal_cycle,34,0.6470588235294118,0.7916666666666666,0.9411764705882353,0.9705882352941176,0.8891859774212715,1.6176470588235294,1.0,12,1.3147418418942995,0.6470588235294118,0.0,1.0,0.0,0.14705882352941177,0.0
original_frozen_matched_pool,v2D_kreciprocal_quality_cycle,34,0.7647058823529411,0.8602941176470589,0.9411764705882353,0.9705882352941176,0.9052287581699346,1.4411764705882353,1.0,8,1.8945281088228583,0.7647058823529411,0.0,1.0,0.0,0.029411764705882353,0.0
original_frozen_matched_pool,v2D_kreciprocal_quality_deconfounded,34,0.8529411764705882,0.8958333333333333,0.9117647058823529,0.9705882352941176,0.9003267973856209,1.4705882352941178,1.0,5,-28.491988957506944,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_frozen_matched_pool,v2D_quality_deconfounded_cycle,34,0.8529411764705882,0.8958333333333333,0.9117647058823529,0.9705882352941176,0.9003267973856209,1.4705882352941178,1.0,5,-28.491988957506944,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_plus_same_subject_wrong_task_side,v2A_top5_aperiodic_rerank,34,0.5,0.7125816993464051,0.9117647058823529,0.9705882352941176,0.8495098039215686,1.911764705882353,1.5,17,-29.576731751217693,0.8235294117647058,0.3235294117647059,0.6764705882352942,0.3235294117647059,0.11764705882352941,0.32352941176470584
original_plus_same_subject_wrong_task_side,v2B_gated_aperiodic_top5,34,0.8529411764705882,0.8954248366013071,0.9117647058823529,0.9705882352941176,0.9192577030812326,1.5,1.0,5,-28.41995668704584,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_plus_same_subject_wrong_task_side,v2C_cycle_consistent,34,0.8235294117647058,0.8897058823529411,0.9411764705882353,0.9705882352941176,0.927170868347339,1.3823529411764706,1.0,6,0.7540086677082382,0.8235294117647058,0.0,1.0,0.0,0.058823529411764705,0.0
original_plus_same_subject_wrong_task_side,v2C_deconfounded_cycle,34,0.8529411764705882,0.8954248366013071,0.9117647058823529,0.9705882352941176,0.9192577030812326,1.5,1.0,5,-28.41995668704584,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_plus_same_subject_wrong_task_side,v2D_kreciprocal_cycle,34,0.6764705882352942,0.801470588235294,0.9411764705882353,0.9705882352941176,0.9065826330532213,1.6176470588235294,1.0,11,1.1161071937940932,0.6764705882352942,0.0,1.0,0.0,0.14705882352941177,0.0
original_plus_same_subject_wrong_task_side,v2D_kreciprocal_quality_cycle,34,0.7941176470588235,0.8823529411764706,0.9705882352941176,0.9705882352941176,0.9384453781512605,1.3529411764705883,1.0,7,1.5899595761966547,0.7941176470588235,0.0,1.0,0.0,0.029411764705882353,0.0
original_plus_same_subject_wrong_task_side,v2D_kreciprocal_quality_deconfounded,34,0.8529411764705882,0.8954248366013071,0.9117647058823529,0.9705882352941176,0.9192577030812326,1.5,1.0,5,-28.41995668704584,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
original_plus_same_subject_wrong_task_side,v2D_quality_deconfounded_cycle,34,0.8529411764705882,0.8954248366013071,0.9117647058823529,0.9705882352941176,0.9192577030812326,1.5,1.0,5,-28.41995668704584,0.8529411764705882,0.0,1.0,0.0,0.029411764705882353,0.0
true_plus_all_other_subject_medon,v2A_top5_aperiodic_rerank,34,0.5882352941176471,0.6856774080599982,0.7647058823529411,0.8235294117647058,0.8841911764705882,4.705882352941177,1.0,14,-179.17933812888504,0.5882352941176471,0.0,0.7058823529411765,0.29411764705882354,0.20588235294117646,0.0
true_plus_all_other_subject_medon,v2B_gated_aperiodic_top5,34,0.6764705882352942,0.759206819824704,0.8235294117647058,0.8235294117647058,0.8933823529411765,4.411764705882353,1.0,11,-1.9757577993235729,0.6764705882352942,0.0,0.9705882352941176,0.029411764705882353,0.20588235294117646,0.0
true_plus_all_other_subject_medon,v2C_cycle_consistent,34,0.7647058823529411,0.836931321390036,0.9117647058823529,0.9117647058823529,0.9237132352941176,3.4411764705882355,1.0,8,1.7718776004672907,0.7647058823529411,0.0,0.9705882352941176,0.029411764705882353,0.20588235294117646,0.0
true_plus_all_other_subject_medon,v2C_deconfounded_cycle,34,0.7647058823529411,0.8435457516339869,0.9117647058823529,0.9117647058823529,0.9678308823529411,2.0294117647058822,1.0,8,1.9018900260078637,0.7647058823529411,0.0,1.0,0.0,0.20588235294117646,0.0
true_plus_all_other_subject_medon,v2D_kreciprocal_cycle,34,0.6176470588235294,0.7631423940543959,0.9117647058823529,0.9117647058823529,0.9163602941176471,3.676470588235294,1.0,13,1.8466882146664219,0.6176470588235294,0.0,0.9705882352941176,0.029411764705882353,0.29411764705882354,0.0
true_plus_all_other_subject_medon,v2D_kreciprocal_quality_cycle,34,0.7647058823529411,0.8382536020944324,0.9117647058823529,0.9117647058823529,0.9439338235294118,2.7941176470588234,1.0,8,2.8003949980655367,0.7647058823529411,0.0,0.9705882352941176,0.029411764705882353,0.08823529411764706,0.0
true_plus_all_other_subject_medon,v2D_kreciprocal_quality_deconfounded,34,0.7647058823529411,0.8455882352941176,0.9117647058823529,0.9117647058823529,0.9770220588235294,1.7352941176470589,1.0,8,3.0382940175917765,0.7647058823529411,0.0,1.0,0.0,0.08823529411764706,0.0
true_plus_all_other_subject_medon,v2D_quality_deconfounded_cycle,34,0.8235294117647058,0.8799019607843137,0.9117647058823529,0.9117647058823529,0.9797794117647058,1.6470588235294117,1.0,6,2.8879333393369144,0.8235294117647058,0.0,1.0,0.0,0.08823529411764706,0.0
