variant_name,query_subject,query_task,query_side,baseline_true_rank,variant_true_rank,baseline_top1_success,variant_top1_success,change_type,baseline_top_candidate_subject,variant_top_candidate_subject,baseline_top_candidate_task,variant_top_candidate_task,baseline_top_candidate_side,variant_top_candidate_side,baseline_distance_true,variant_distance_true,baseline_margin,variant_margin
v2A_top5_aperiodic_rerank,sub-0cGdk9,HoldL,L,1,1,True,True,unchanged_success,sub-0cGdk9,sub-0cGdk9,HoldL,HoldL,L,L,0.05495877352468829,-1.938649524608993,0.2459030689150625,1.2392826131041097
v2A_top5_aperiodic_rerank,sub-0cGdk9,MoveL,L,1,1,True,True,unchanged_success,sub-0cGdk9,sub-0cGdk9,MoveL,MoveL,L,L,0.059447848154269324,-1.4178729803624233,0.16637975974629476,0.42285712868394054
v2A_top5_aperiodic_rerank,sub-2IU8mi,HoldL,L,2,1,False,True,fail_to_success,sub-0cGdk9,sub-2IU8mi,HoldL,HoldL,L,L,0.328689068912138,-1.5622065089877908,-0.10919537969865398,0.30927336021217955
v2A_top5_aperiodic_rerank,sub-2IU8mi,MoveL,L,1,1,True,True,unchanged_success,sub-2IU8mi,sub-2IU8mi,MoveL,MoveL,L,L,0.04743572890594252,-2.2779222038583335,0.28860869002517137,1.889551308841018
v2A_top5_aperiodic_rerank,sub-2IhVOz,HoldR,R,3,3,False,False,unchanged_failure,sub-FIyfdR,sub-FIyfdR,HoldR,HoldR,R,R,1.3254485296083245,0.6369644838418287,-0.5368658869213317,-1.7430557065219865
v2A_top5_aperiodic_rerank,sub-2IhVOz,MoveR,R,4,4,False,False,unchanged_failure,sub-VopvKx,sub-jyC0j3,MoveR,MoveR,R,R,1.2810196469187163,1.5468717531196303,-0.602589523330951,-2.0941604838916286
v2A_top5_aperiodic_rerank,sub-AB2PeX,HoldL,L,2,1,False,True,fail_to_success,sub-gNX5yb,sub-AB2PeX,HoldL,HoldL,L,L,0.3309516127494058,-1.2659617134608552,-0.09784822443807592,0.48480506159206915
v2A_top5_aperiodic_rerank,sub-AB2PeX,MoveL,L,1,1,True,True,unchanged_success,sub-AB2PeX,sub-AB2PeX,MoveL,MoveL,L,L,0.04698603144549059,-2.5985592342021038,0.5051517871820669,2.800534671971187
v2A_top5_aperiodic_rerank,sub-AbzsOg,HoldL,L,1,1,True,True,unchanged_success,sub-AbzsOg,sub-AbzsOg,HoldL,HoldL,L,L,0.3999109609027122,-2.2828242350543984,0.21788046561555158,2.2398466547156946
v2A_top5_aperiodic_rerank,sub-AbzsOg,MoveL,L,1,1,True,True,unchanged_success,sub-AbzsOg,sub-AbzsOg,MoveL,MoveL,L,L,0.3832058208194775,-2.344577031791882,0.1938060973619532,2.154242553618484
v2A_top5_aperiodic_rerank,sub-FIyfdR,HoldR,R,1,1,True,True,unchanged_success,sub-FIyfdR,sub-FIyfdR,HoldR,HoldR,R,R,0.03571904944413168,-2.093599431810783,0.6174242277847013,3.0916079820868365
v2A_top5_aperiodic_rerank,sub-FIyfdR,MoveR,R,1,1,True,True,unchanged_success,sub-FIyfdR,sub-FIyfdR,MoveR,MoveR,R,R,0.5086171309825672,-1.9463958386091273,0.23072249908151465,1.1510152525556072
v2A_top5_aperiodic_rerank,sub-FYbcap,HoldL,L,1,1,True,True,unchanged_success,sub-FYbcap,sub-FYbcap,HoldL,HoldL,L,L,0.1786997994628673,-1.8539211133039846,0.4407610537056964,2.417399313720801
v2A_top5_aperiodic_rerank,sub-FYbcap,MoveL,L,2,1,False,True,fail_to_success,sub-AB2PeX,sub-FYbcap,MoveL,MoveL,L,L,0.38052562311927834,-1.5886971742452969,-0.10934723658785511,0.4720067694730228
v2A_top5_aperiodic_rerank,sub-PuPVlx,HoldL,L,1,1,True,True,unchanged_success,sub-PuPVlx,sub-PuPVlx,HoldL,HoldL,L,L,0.10018823714794971,-2.6231941987956953,0.24317898382993353,2.1822250777145515
v2A_top5_aperiodic_rerank,sub-PuPVlx,MoveL,L,1,1,True,True,unchanged_success,sub-PuPVlx,sub-PuPVlx,MoveL,MoveL,L,L,0.008975142068523493,-2.272145884345203,0.13270245453875676,1.5870830167629357
v2A_top5_aperiodic_rerank,sub-QZTsn6,HoldL,L,2,1,False,True,fail_to_success,sub-PuPVlx,sub-QZTsn6,HoldL,HoldL,L,L,0.35892776496577,-1.552799016725655,-0.16339112525943258,0.0956342676044728
v2A_top5_aperiodic_rerank,sub-QZTsn6,MoveL,L,3,2,False,False,unchanged_failure,sub-PuPVlx,sub-PuPVlx,MoveL,MoveL,L,L,0.3405021892860632,-0.9903076883118087,-0.21800823109510603,-0.20467525364917494
v2A_top5_aperiodic_rerank,sub-VopvKx,HoldR,R,1,1,True,True,unchanged_success,sub-VopvKx,sub-VopvKx,HoldR,HoldR,R,R,0.010810489867796943,-2.073628309493352,0.7287773466691648,1.4239087029523054
v2A_top5_aperiodic_rerank,sub-VopvKx,MoveR,R,1,1,True,True,unchanged_success,sub-VopvKx,sub-VopvKx,MoveR,MoveR,R,R,0.018400822832378354,-2.0057510076026785,0.4138221177055865,1.3615758973624088
v2A_top5_aperiodic_rerank,sub-dCsWjQ,HoldL,L,5,4,False,False,unchanged_failure,sub-AbzsOg,sub-AbzsOg,HoldL,HoldL,L,L,0.6733716063225099,1.0085484335185413,-0.28273845648497004,-2.788850709276633
v2A_top5_aperiodic_rerank,sub-dCsWjQ,MoveL,L,8,8,False,False,unchanged_failure,sub-PuPVlx,sub-PuPVlx,MoveL,MoveL,L,L,0.9143766919115247,1008.0,-0.46389409443176083,-1009.4582709293617
v2A_top5_aperiodic_rerank,sub-gNX5yb,HoldL,L,1,1,True,True,unchanged_success,sub-gNX5yb,sub-gNX5yb,HoldL,HoldL,L,L,0.2749951704075353,-1.5362486534084616,0.1433522328566681,1.7128466867245937
v2A_top5_aperiodic_rerank,sub-gNX5yb,MoveL,L,1,1,True,True,unchanged_success,sub-gNX5yb,sub-gNX5yb,MoveL,MoveL,L,L,0.1496218418945431,-2.14707478233527,0.19142902614331722,1.203976136463797
v2A_top5_aperiodic_rerank,sub-hnetKS,HoldL,L,1,1,True,True,unchanged_success,sub-hnetKS,sub-hnetKS,HoldL,HoldL,L,L,0.2759279162237444,-2.466962300559163,0.5833136259901621,2.356480917224137
v2A_top5_aperiodic_rerank,sub-hnetKS,MoveL,L,1,1,True,True,unchanged_success,sub-hnetKS,sub-hnetKS,MoveL,MoveL,L,L,0.2765675627166289,-2.7873941125292143,0.6621478376837662,2.933315007643383
v2A_top5_aperiodic_rerank,sub-i4oK0F,HoldL,L,1,1,True,True,unchanged_success,sub-i4oK0F,sub-i4oK0F,HoldL,HoldL,L,L,0.31703315763232937,-1.5561845909521352,0.13098826114274964,1.0858244345232602
v2A_top5_aperiodic_rerank,sub-i4oK0F,MoveL,L,1,1,True,True,unchanged_success,sub-i4oK0F,sub-i4oK0F,MoveL,MoveL,L,L,0.08889767592794046,-1.7977087268612657,0.05397922572189054,1.3560343882532406
v2A_top5_aperiodic_rerank,sub-iDpl28,HoldR,R,1,1,True,True,unchanged_success,sub-iDpl28,sub-iDpl28,HoldR,HoldR,R,R,0.3380983718692299,-2.406605073117978,0.17610804645817396,1.9713601060739743
v2A_top5_aperiodic_rerank,sub-jyC0j3,HoldR,R,1,1,True,True,unchanged_success,sub-jyC0j3,sub-jyC0j3,HoldR,HoldR,R,R,0.3487582428940675,-1.836860283781908,0.23792825187673977,2.2418990147454223
v2A_top5_aperiodic_rerank,sub-jyC0j3,MoveR,R,1,1,True,True,unchanged_success,sub-jyC0j3,sub-jyC0j3,MoveR,MoveR,R,R,0.04317054573313239,-2.0214264574824874,0.23108596316577534,1.2052168600626558
v2A_top5_aperiodic_rerank,sub-oLNpHd,HoldL,L,1,1,True,True,unchanged_success,sub-oLNpHd,sub-oLNpHd,HoldL,HoldL,L,L,0.133243867988222,-2.3344948259950176,0.19007247738257319,1.814548535201526
v2A_top5_aperiodic_rerank,sub-oLNpHd,MoveL,L,1,1,True,True,unchanged_success,sub-oLNpHd,sub-oLNpHd,MoveL,MoveL,L,L,0.1425651480876357,-2.2080418761757596,0.11424055315892445,1.6829046436445543
