query_pair_id,query_subject,query_task,query_side,feature_group,distance_metric,n_features,n_wrong_candidates,true_distance,best_wrong_distance,mean_wrong_distance,wrong_closer_than_true,true_rank_within_group,margin,best_wrong_pair_id,best_wrong_subject,best_wrong_task,best_wrong_side,best_wrong_quality
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,STN_features,cosine,22,6,0.2728863227605959,0.2520463744410505,0.7746658772859781,True,2,-0.020839948319545387,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,STN_features,zscored_euclidean,22,6,3.587855470328421,2.9536201366649877,4.280620309422738,True,4,-0.6342353336634332,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,STN_features,cosine,22,9,0.6090156249144625,0.5054379300567923,1.11635611891467,True,3,-0.10357769485767021,sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,STN_features,cosine,22,2,1.0697967154983077,0.9590092781033109,1.0235997500038716,True,2,-0.11078743739499675,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,STN_features,zscored_euclidean,22,2,17.06051267008716,4.775706265395178,7.213798708489373,True,3,-12.284806404691981,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,STN_features,zscored_euclidean,22,3,16.012820984829588,5.323553052532798,6.151636665764319,True,4,-10.68926793229679,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,STN_features,zscored_euclidean,22,11,3.9699122072543394,2.5593117917263064,5.270162510951587,True,3,-1.410600415528033,sub-hnetKS|HoldL,sub-hnetKS,HoldL,L,good
sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,STN_features,cosine,22,9,0.1688439689872947,0.1647446419338554,1.0710837658883212,True,2,-0.0040993270534392945,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,STN_features,zscored_euclidean,22,9,6.342104465884857,2.3420216694439255,5.872081309682252,True,6,-4.000082796440932,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,STN_features,cosine,22,6,1.128283733141474,0.3231921418243744,1.1043690873707852,True,4,-0.8050915913170995,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,STN_features,zscored_euclidean,22,6,5.803828045568399,3.7170258601169004,6.026418713631377,True,3,-2.0868021854514986,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,STN_features,zscored_euclidean,22,9,2.548766117336211,2.3943892227053216,5.309524174761445,True,2,-0.15437689463088944,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,STN_features,cosine,22,3,0.6260647874693042,0.4111048116800541,1.3218590582989067,True,2,-0.21495997578925008,sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,low_quality
sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,STN_features,zscored_euclidean,22,2,6.558408182897071,3.5355958258456672,4.943119032378675,True,3,-3.0228123570514036,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,acceptable
sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,STN_features,zscored_euclidean,22,9,4.787844286365127,4.074234107437901,6.672927352956858,True,3,-0.713610178927226,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,STN_features,cosine,22,6,0.9326241677095717,0.1620699426404797,0.6741032693283205,True,5,-0.770554225069092,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,STN_features,zscored_euclidean,22,6,7.340791131640024,3.094922250142885,5.34935922530902,True,7,-4.245868881497138,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,STN_features,cosine,22,9,0.9414168578271671,0.12984480649070107,0.9748475547121342,True,4,-0.811572051336466,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good
sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,STN_features,zscored_euclidean,22,9,8.630665970577724,2.9862974275991956,7.188709417369801,True,8,-5.644368542978528,sub-PuPVlx|MoveL,sub-PuPVlx,MoveL,L,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,STN_features,cosine,22,6,0.7269219529410855,0.31985932792803384,0.8292247691997033,True,5,-0.4070626250130517,sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,STN_features,zscored_euclidean,22,6,4.683102898449831,2.1910917098257547,4.032845243041431,True,5,-2.492011188624076,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,STN_features,cosine,22,9,1.0062759473818605,0.15022092234589657,0.8972834700071962,True,7,-0.856055025035964,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,STN_features,zscored_euclidean,22,9,5.519199307990445,1.961521780708287,5.312077033804474,True,6,-3.5576775272821584,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,L,STN_features,zscored_euclidean,22,9,3.342555835281594,3.090815196895843,6.10817279402462,True,2,-0.2517406383857512,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,STN_features,cosine,22,9,0.08314075966076928,0.06835970533083435,1.0504512037743718,True,2,-0.014781054329934928,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good
sub-i4oK0F|MoveL,sub-i4oK0F,MoveL,L,STN_features,zscored_euclidean,22,11,2.333948395678635,1.7848441103352404,4.809679596579591,True,2,-0.5491042853433947,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-iDpl28|HoldR,sub-iDpl28,HoldR,R,STN_features,zscored_euclidean,22,4,3.80639588459792,2.8150609759221448,6.226845864224039,True,2,-0.9913349086757752,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,compact_aperiodic_residual,cosine,12,6,0.5980429822554698,0.4695991053333832,0.7545528172115986,True,2,-0.1284438769220866,sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,compact_aperiodic_residual,zscored_euclidean,12,6,3.156654600970676,2.6451564541314756,3.5952318979795934,True,2,-0.5114981468392004,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,compact_aperiodic_residual,cosine,12,9,1.007542304878546,0.16653310620700534,1.057269850686659,True,6,-0.8410091986715406,sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,good
sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,compact_aperiodic_residual,zscored_euclidean,12,9,3.7810319873316103,3.1583932943780235,5.097511405999722,True,3,-0.6226386929535868,sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,good
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,compact_aperiodic_residual,cosine,12,9,0.31379508273373813,0.12072312537669427,0.9047589433144125,True,2,-0.19307195735704386,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,compact_aperiodic_residual,cosine,12,3,1.1614356050833183,0.8247556556031512,1.1351548174012216,True,3,-0.3366799494801671,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,compact_aperiodic_residual,zscored_euclidean,12,3,11.60013771309128,6.209141627124395,7.216052907404261,True,4,-5.3909960859668855,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,compact_aperiodic_residual,cosine,12,6,0.6098638279469726,0.38027211014624696,0.9228006070513937,True,2,-0.22959171780072563,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,compact_aperiodic_residual,zscored_euclidean,12,6,4.241974989268215,3.153336036203462,4.8206100676775545,True,2,-1.088638953064753,sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,compact_aperiodic_residual,zscored_euclidean,12,9,2.334396679610549,2.0993572097454853,4.813958226871744,True,2,-0.23503946986506374,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,compact_aperiodic_residual,zscored_euclidean,12,3,4.429231989751177,3.990290671731685,5.276950686617109,True,2,-0.4389413180194919,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,compact_aperiodic_residual,zscored_euclidean,12,2,5.790800208973769,3.365408203678839,5.202888874487755,True,2,-2.42539200529493,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,acceptable
sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,compact_aperiodic_residual,cosine,12,9,0.5263550544250493,0.25543104674800066,1.0140803309082722,True,3,-0.2709240076770486,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good
sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,compact_aperiodic_residual,zscored_euclidean,12,9,4.973220331049119,2.422890778927094,4.86224655598931,True,6,-2.550329552122025,sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,good
sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,compact_aperiodic_residual,cosine,12,4,0.6820816785139744,0.08642817647582701,0.8736937290871287,True,2,-0.5956535020381474,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-VopvKx|HoldR,sub-VopvKx,HoldR,R,compact_aperiodic_residual,zscored_euclidean,12,4,2.313175517752397,0.7590412414386118,3.5609363203981443,True,2,-1.5541342763137853,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,compact_aperiodic_residual,cosine,12,3,0.2876510145800728,0.25627650056966655,0.7246554834446512,True,2,-0.03137451401040625,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,compact_aperiodic_residual,zscored_euclidean,12,3,1.4974284773915996,1.3540017514591571,4.456841396268037,True,2,-0.14342672593244243,sub-jyC0j3|MoveR,sub-jyC0j3,MoveR,R,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,compact_aperiodic_residual,cosine,12,6,0.7323876821604951,0.21840762899970123,1.132717102470085,True,3,-0.5139800531607939,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,compact_aperiodic_residual,zscored_euclidean,12,6,5.047228465142598,1.2139436626174884,3.6035565987827667,True,7,-3.8332848025251094,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,compact_aperiodic_residual,cosine,12,9,0.804040747562399,0.1596484854858552,0.8824806874564154,True,5,-0.6443922620765438,sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,compact_aperiodic_residual,zscored_euclidean,12,9,5.144703907631807,1.1957936438445054,3.8503821377912226,True,7,-3.9489102637873015,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-i4oK0F|MoveL,sub-i4oK0F,MoveL,L,compact_aperiodic_residual,zscored_euclidean,12,11,2.236910308515961,1.7505516366189577,3.8941984377607786,True,2,-0.48635867189700344,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-iDpl28|HoldR,sub-iDpl28,HoldR,R,compact_aperiodic_residual,zscored_euclidean,12,4,3.61250486724896,2.6177747519791366,3.678156639386476,True,3,-0.9947301152698236,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,coupling,cosine,36,6,0.0720420726705826,0.016702643835915798,0.9848706187344893,True,2,-0.055339428834666804,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,coupling,zscored_euclidean,36,6,1.6888745129942924,0.8225560498847824,7.833144801120697,True,2,-0.86631846310951,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,coupling,cosine,36,6,1.0391614534842986,0.3126004954000575,0.9667572828921062,True,4,-0.726560958084241,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,coupling,zscored_euclidean,36,6,4.809504318171861,3.3234868495117027,7.968318653152148,True,4,-1.4860174686601582,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,coupling,cosine,36,2,0.6147162197478675,0.32197816842067395,0.8453469617052034,True,2,-0.29273805132719355,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,coupling,zscored_euclidean,36,2,8.024670925329643,3.2214672487278517,5.39900201112613,True,3,-4.803203676601791,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,coupling,cosine,36,3,0.4899951670157098,0.2693021365356302,0.5406660551945933,True,3,-0.2206930304800796,sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,caution
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,coupling,zscored_euclidean,36,3,4.786644011265087,3.056989483552717,4.127836006612905,True,3,-1.7296545277123703,sub-VopvKx|MoveR,sub-VopvKx,MoveR,R,caution
sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,coupling,cosine,36,11,1.4196509579969363,0.12279528287127939,0.7476955075377753,True,10,-1.296855675125657,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,coupling,zscored_euclidean,36,11,11.02484673732679,2.029523178126137,5.4596060008819505,True,9,-8.995323559200653,sub-gNX5yb|HoldL,sub-gNX5yb,HoldL,L,acceptable
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,coupling,zscored_euclidean,36,6,7.758302221604348,5.809598316486008,8.063773135742744,True,3,-1.9487039051183395,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,coupling,cosine,36,9,0.09675861912913863,0.0687686979712715,1.059530340876024,True,2,-0.027989921157867137,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,coupling,zscored_euclidean,36,9,7.70147034687652,6.442743526899834,8.667651221862151,True,4,-1.258726819976686,sub-gNX5yb|MoveL,sub-gNX5yb,MoveL,L,good
sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,coupling,cosine,36,6,0.09577841616838223,0.049732949508591306,1.0572546219556882,True,2,-0.04604546665979092,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,coupling,zscored_euclidean,36,6,1.9105063866269072,1.3544941273551319,7.845541980967191,True,2,-0.5560122592717753,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,coupling,cosine,36,6,1.0072969685796698,0.5704598470655589,0.8467431697662748,True,5,-0.4368371215141109,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-dCsWjQ|HoldL,sub-dCsWjQ,HoldL,L,coupling,zscored_euclidean,36,6,13.60698735108297,2.9919601800335704,6.149072286667927,True,7,-10.6150271710494,sub-2IU8mi|HoldL,sub-2IU8mi,HoldL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,coupling,cosine,36,9,1.1079167464331254,0.7103503793668113,1.0363090777505664,True,6,-0.3975663670663141,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good
sub-dCsWjQ|MoveL,sub-dCsWjQ,MoveL,L,coupling,zscored_euclidean,36,9,10.706803353192548,3.996656135815198,6.994339017277229,True,8,-6.71014721737735,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good
sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,coupling,cosine,36,9,0.08261585512732694,0.06826455593787895,1.0689427341394842,True,2,-0.014351299189447997,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,coupling,zscored_euclidean,36,9,10.367768348851031,5.8313203527242745,12.197014340762504,True,3,-4.536447996126757,sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,good
sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,coupling,cosine,36,2,0.644282290511573,0.08406753066541628,0.17096966552684317,True,3,-0.5602147598461568,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable
sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,coupling,zscored_euclidean,36,2,5.255564843237356,1.355832444568967,1.7935029208583662,True,3,-3.899732398668389,sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,acceptable
sub-i4oK0F|MoveL,sub-i4oK0F,MoveL,L,coupling,cosine,36,11,0.09599244028377185,0.060902997933679814,0.9248711269946284,True,2,-0.03508944235009204,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good
sub-i4oK0F|MoveL,sub-i4oK0F,MoveL,L,coupling,zscored_euclidean,36,11,2.329548683034803,1.548508507153759,7.04988955555359,True,3,-0.7810401758810439,sub-0cGdk9|MoveL,sub-0cGdk9,MoveL,L,good
sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,coupling,cosine,36,2,0.7422635714543163,0.21734509081199305,0.45527915391040913,True,3,-0.5249184806423233,sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,good
sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,coupling,zscored_euclidean,36,2,5.400177025316064,4.077009428478179,4.868286680474005,True,2,-1.3231675968378855,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good
sub-oLNpHd|MoveL,sub-oLNpHd,MoveL,L,coupling,cosine,36,11,0.3015969865580723,0.29756285966527174,0.8768534421920967,True,2,-0.0040341268928005825,sub-QZTsn6|MoveL,sub-QZTsn6,MoveL,L,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,raw_beta_gamma_power,cosine,20,6,0.03608916622348213,0.01662074490774912,0.6962413227899703,True,2,-0.01946842131573301,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-0cGdk9|HoldL,sub-0cGdk9,HoldL,L,raw_beta_gamma_power,zscored_euclidean,20,6,1.8543437157300442,0.5649258963245337,2.7836414908649325,True,2,-1.2894178194055104,sub-PuPVlx|HoldL,sub-PuPVlx,HoldL,L,good
sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,raw_beta_gamma_power,zscored_euclidean,20,9,1.0838349942499825,0.8579869986444867,3.581037707328543,True,2,-0.22584799560549584,sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,raw_beta_gamma_power,cosine,20,2,1.0844843248515623,0.7214402014478107,0.8003565400267683,True,3,-0.3630441234037516,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-2IhVOz|HoldR,sub-2IhVOz,HoldR,R,raw_beta_gamma_power,zscored_euclidean,20,2,91.69443022024261,88.75781877214013,88.92957465948797,True,3,-2.9366114481024823,sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,raw_beta_gamma_power,cosine,20,3,1.0886810333083041,0.9142157924119331,0.9914939872192483,True,4,-0.17446524089637105,sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,good
sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,raw_beta_gamma_power,zscored_euclidean,20,3,92.05682469798458,89.71588927530354,89.837586299225,True,4,-2.340935422681042,sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,good
sub-AB2PeX|HoldL,sub-AB2PeX,HoldL,L,raw_beta_gamma_power,zscored_euclidean,20,11,3.5826214353121966,1.037440039708759,3.7060082545312496,True,6,-2.5451813956034375,sub-gNX5yb|HoldL,sub-gNX5yb,HoldL,L,acceptable
sub-AB2PeX|MoveL,sub-AB2PeX,MoveL,L,raw_beta_gamma_power,zscored_euclidean,20,9,5.935839071693803,1.164981442396055,3.7487645402121217,True,9,-4.7708576292977485,sub-hnetKS|MoveL,sub-hnetKS,MoveL,L,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,raw_beta_gamma_power,cosine,20,6,1.6950904494773225,0.045209264904724655,1.2619519844259213,True,4,-1.6498811845725978,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-AbzsOg|HoldL,sub-AbzsOg,HoldL,L,raw_beta_gamma_power,zscored_euclidean,20,6,4.117797471042392,1.0424967427494698,4.351689040438522,True,3,-3.0753007282929223,sub-QZTsn6|HoldL,sub-QZTsn6,HoldL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,raw_beta_gamma_power,cosine,20,9,0.9391318980599107,0.22757229067356366,0.9280578528691691,True,6,-0.711559607386347,sub-FYbcap|MoveL,sub-FYbcap,MoveL,L,good
sub-AbzsOg|MoveL,sub-AbzsOg,MoveL,L,raw_beta_gamma_power,zscored_euclidean,20,9,3.3164129001239337,0.5602284274554118,3.02827712293953,True,7,-2.756184472668522,sub-2IU8mi|MoveL,sub-2IU8mi,MoveL,L,good
sub-FIyfdR|HoldR,sub-FIyfdR,HoldR,R,raw_beta_gamma_power,zscored_euclidean,20,2,4.225670396794329,2.3152276254918718,6.014344619432016,True,2,-1.9104427713024572,sub-jyC0j3|HoldR,sub-jyC0j3,HoldR,R,good
sub-FIyfdR|MoveR,sub-FIyfdR,MoveR,R,raw_beta_gamma_power,cosine,20,3,0.40858595405359566,0.30301854987601706,1.338726830234207,True,2,-0.1055674041775786,sub-2IhVOz|MoveR,sub-2IhVOz,MoveR,R,low_quality
sub-FYbcap|HoldL,sub-FYbcap,HoldL,L,raw_beta_gamma_power,cosine,20,2,0.4442608891237564,0.16735446546194543,0.9353082469573601,True,2,-0.27690642366181095,sub-i4oK0F|HoldL,sub-i4oK0F,HoldL,L,acceptable
