candidate_pool_condition,variant_name,n_pairs,top1,mrr,top3,top5,percentile_rank,mean_true_rank,median_true_rank,failures,retrieval_margin,candidate_set_size_mean,candidate_set_size_min,candidate_set_size_max,queries_below_min_distractors,same_subject_wrong_distractors_mean,same_task_side_distractors_mean,top1_same_subject_rate,top1_same_subject_wrong_rate,top1_same_task_side_rate,top1_wrong_task_or_side_rate,subject_fingerprint_gap
original_frozen_matched_pool,v2_reference,33,0.7272727272727273,0.8255050505050505,0.9090909090909091,0.9696969696969697,0.8726660544842364,1.6666666666666667,1.0,9,0.1380571483483047,7.303030303030303,3,12,0,0.0,6.303030303030303,0.7272727272727273,0.0,1.0,0.0,0.0
original_frozen_matched_pool,v2A_top5_aperiodic_rerank,33,0.8484848484848485,0.8926767676767676,0.9090909090909091,0.9696969696969697,0.8973063973063973,1.4848484848484849,1.0,5,-29.43641687027785,7.303030303030303,3,12,0,0.0,6.303030303030303,0.8484848484848485,0.0,1.0,0.0,0.0
original_frozen_matched_pool,v2B_gated_aperiodic_top5,33,0.8484848484848485,0.8926767676767676,0.9090909090909091,0.9696969696969697,0.8973063973063973,1.4848484848484849,1.0,5,-29.43641687027785,7.303030303030303,3,12,0,0.0,6.303030303030303,0.8484848484848485,0.0,1.0,0.0,0.0
task_side_quality_ignored,v2_reference,33,0.6666666666666666,0.7845959595959595,0.8787878787878788,0.9393939393939394,0.8732782369146006,1.9393939393939394,1.0,11,0.08157267626121713,9.969696969696969,4,12,0,0.0,8.969696969696969,0.6666666666666666,0.0,1.0,0.0,0.0
task_side_quality_ignored,v2A_top5_aperiodic_rerank,33,0.7575757575757576,0.83510101010101,0.8787878787878788,0.9393939393939394,0.884297520661157,1.8181818181818181,1.0,8,-60.1727257439681,9.969696969696969,4,12,0,0.0,8.969696969696969,0.7575757575757576,0.0,1.0,0.0,0.0
task_side_quality_ignored,v2B_gated_aperiodic_top5,33,0.7575757575757576,0.83510101010101,0.8787878787878788,0.9393939393939394,0.884297520661157,1.8181818181818181,1.0,8,-60.17272574396811,9.969696969696969,4,12,0,0.0,8.969696969696969,0.7575757575757576,0.0,1.0,0.0,0.0
task_side_quality_strict,v2_reference,33,0.7878787878787878,0.8633838383838384,0.9393939393939394,0.9696969696969697,0.9057239057239057,1.5454545454545454,1.0,7,0.18006136041028964,5.424242424242424,1,10,10,0.0,4.424242424242424,0.7878787878787878,0.0,1.0,0.0,0.0
task_side_quality_strict,v2A_top5_aperiodic_rerank,33,0.8787878787878788,0.9154040404040403,0.9393939393939394,0.9696969696969697,0.9276094276094276,1.393939393939394,1.0,4,-39.03035862731903,5.424242424242424,1,10,10,0.0,4.424242424242424,0.8787878787878788,0.0,1.0,0.0,0.0
task_side_quality_strict,v2B_gated_aperiodic_top5,33,0.8787878787878788,0.9154040404040403,0.9393939393939394,0.9696969696969697,0.9276094276094276,1.393939393939394,1.0,4,-39.030358627319025,5.424242424242424,1,10,10,0.0,4.424242424242424,0.8787878787878788,0.0,1.0,0.0,0.0
task_family_side_quality_ignored,v2_reference,33,0.6666666666666666,0.7845959595959595,0.8787878787878788,0.9393939393939394,0.8732782369146006,1.9393939393939394,1.0,11,0.08157267626121713,9.969696969696969,4,12,0,0.0,8.969696969696969,0.6666666666666666,0.0,1.0,0.0,0.0
task_family_side_quality_ignored,v2A_top5_aperiodic_rerank,33,0.7575757575757576,0.83510101010101,0.8787878787878788,0.9393939393939394,0.884297520661157,1.8181818181818181,1.0,8,-60.1727257439681,9.969696969696969,4,12,0,0.0,8.969696969696969,0.7575757575757576,0.0,1.0,0.0,0.0
task_family_side_quality_ignored,v2B_gated_aperiodic_top5,33,0.7575757575757576,0.83510101010101,0.8787878787878788,0.9393939393939394,0.884297520661157,1.8181818181818181,1.0,8,-60.17272574396811,9.969696969696969,4,12,0,0.0,8.969696969696969,0.7575757575757576,0.0,1.0,0.0,0.0
original_plus_same_subject_wrong_task_side,v2_reference,33,0.45454545454545453,0.6760942760942761,0.8787878787878788,0.9696969696969697,0.8272005772005772,2.0606060606060606,2.0,18,-0.047419747883155776,8.272727272727273,4,13,0,0.9696969696969697,6.303030303030303,0.7878787878787878,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
original_plus_same_subject_wrong_task_side,v2A_top5_aperiodic_rerank,33,0.48484848484848486,0.7038720538720538,0.9090909090909091,0.9696969696969697,0.843939393939394,1.9393939393939394,2.0,17,-30.557554025302682,8.272727272727273,4,13,0,0.9696969696969697,6.303030303030303,0.8181818181818182,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.33333333333333337
original_plus_same_subject_wrong_task_side,v2B_gated_aperiodic_top5,33,0.8787878787878788,0.9074074074074073,0.9090909090909091,0.9696969696969697,0.9198412698412698,1.4848484848484849,1.0,4,-29.363317021593367,8.272727272727273,4,13,0,0.9696969696969697,6.303030303030303,0.8787878787878788,0.0,1.0,0.0,0.0
all_medon_candidates,v2_reference,33,0.3939393939393939,0.5504119196111272,0.6363636363636364,0.7878787878787878,0.8579545454545454,5.545454545454546,2.0,20,-0.10776202386835246,33.0,33,33,0,0.9696969696969697,8.969696969696969,0.696969696969697,0.30303030303030304,0.45454545454545453,0.5454545454545454,0.3030303030303031
all_medon_candidates,v2A_top5_aperiodic_rerank,33,0.3939393939393939,0.5696038388030465,0.6666666666666666,0.7878787878787878,0.8626893939393939,5.393939393939394,2.0,20,-216.21397973638975,33.0,33,33,0,0.9696969696969697,8.969696969696969,0.696969696969697,0.30303030303030304,0.45454545454545453,0.5454545454545454,0.3030303030303031
all_medon_candidates,v2B_gated_aperiodic_top5,33,0.6666666666666666,0.7408159600151676,0.7878787878787878,0.7878787878787878,0.8816287878787878,4.787878787878788,1.0,11,58.127669202440636,33.0,33,33,0,0.9696969696969697,8.969696969696969,0.6666666666666666,0.0,0.9696969696969697,0.030303030303030304,0.0
true_plus_all_other_subject_medon,v2_reference,33,0.5454545454545454,0.6398851007509752,0.6666666666666666,0.8181818181818182,0.8660801564027371,5.151515151515151,1.0,15,-0.035144167938975346,32.03030303030303,32,33,0,0.0,8.969696969696969,0.5454545454545454,0.0,0.6363636363636364,0.36363636363636365,0.0
true_plus_all_other_subject_medon,v2A_top5_aperiodic_rerank,33,0.5757575757575758,0.675743686609561,0.696969696969697,0.8181818181818182,0.8729227761485826,4.9393939393939394,1.0,14,-184.67299522710974,32.03030303030303,32,33,0,0.0,8.969696969696969,0.5757575757575758,0.0,0.6666666666666666,0.3333333333333333,0.0
true_plus_all_other_subject_medon,v2B_gated_aperiodic_top5,33,0.6666666666666666,0.7515012623671367,0.8181818181818182,0.8181818181818182,0.8836754643206257,4.606060606060606,1.0,11,-2.1522088658835496,32.03030303030303,32,33,0,0.0,8.969696969696969,0.6666666666666666,0.0,0.9696969696969697,0.030303030303030304,0.0
